기간,구분,지표,값,전년 동기,YoY(%),기준선,판정
2026-01-01,⑧ 공장,안심케어 인입률(%) · 군포공장,0.36,0.38,-5.3,전년比 상승 금지,양호
2026-01-01,⑨ 진단,QC 진행률(%) · 군포공장,0.0,0,,,
2026-01-01,⑧ 공장,QC 부적합률(%) · 부산공장,,,,전년比 상승 금지,
2026-01-01,⑧ 공장,스파팅 못지움율(%) · 부산공장,,,,전년比 상승 금지,
2026-01-01,⑧ 공장,안심케어 인입률(%) · 부산공장,0.44,0.46,-4.3,전년比 상승 금지,양호
2026-01-01,⑨ 진단,QC 진행률(%) · 부산공장,0.0,0,,,
2026-01-01,⑧ 공장,QC 부적합률(%) · 성수공장,,,,전년比 상승 금지,
2026-01-01,⑧ 공장,스파팅 못지움율(%) · 성수공장,,,,전년比 상승 금지,
2026-01-01,⑧ 공장,안심케어 인입률(%) · 성수공장,0.52,0.54,-3.7,전년比 상승 금지,양호
2026-01-01,⑨ 진단,QC 진행률(%) · 성수공장,0.0,0,,,
2026-01-01,⑨ 진단,QC 진행률(%),0,0,,,
2026-01-01,⑨ 진단,스파팅 진행률(%),0,0,,,
2026-01-01,⑨ 진단,스파팅 결과 미입력률(%),,,,,
2026-01-01,⑨ 진단,스파팅 재세탁율(%),3.4,3.3,3.0,,
2026-01-01,⑨ 진단,출고 의류 수(건),452034,425211,6.3,,
2026-01-01,⑨ 진단,안심케어 인입(건),1790,915,95.6,,
2026-01-01,⑨ 진단,안심케어 요청 지연 P90(일),10.0,7.0,42.9,,
2026-01-01,⑨ 진단,출고 − QC 시행 간격 중앙값(일),1.0,,,,
2026-02-01,⑤ 품질,QC 부적합률(%),,,,전년比 상승 금지,
2026-02-01,⑤ 품질,스파팅 못지움율(%),,,,전년比 상승 금지,
2026-02-01,⑤ 품질,안심케어 인입률(%),0.42,0.44,-4.5,전년比 상승 금지,양호
2026-02-01,⑧ 공장,QC 부적합률(%) · 군포공장,,,,전년比 상승 금지,
